-28	3.438911059
-27.5	3.3264185577
-27	3.2157991153
-26.5	3.107052732
-26	3.0001794078
-25.5	2.8951791425
-25	2.7920519363
-24.5	2.6907977892
-24	2.5914167011
-23.5	2.493908672
-23	2.398273702
-22.5	2.304511791
-22	2.212622939
-21.5	2.1226071461
-21	2.0344644122
-20.5	1.9481947374
-20	1.8637981216
-19.5	1.7812745648
-19	1.7006240671
-18.5	1.6218466284
-18	1.5449422488
-17.5	1.4699109282
-17	1.3967526666
-16.5	1.3254674641
-16	1.2560553206
-15.5	1.1885162362
-15	1.1228502108
-14.5	1.0590572444
-14	0.9971373371
-13.5	0.9370904888
-13	0.8789166995
-12.5	0.8226159693
-12	0.7681882981
-11.5	0.715633686
-11	0.6649521329
-10.5	0.6161436389
-10	0.5692082038
-9.5	0.5241458279
-9	0.4809565109
-8.5	0.439640253
-8	0.4001970542
-7.5	0.3626269143
-7	0.3269298336
-6.5	0.2931058118
-6	0.2611548491
-5.5	0.2310769454
-5	0.2028721008
-4.5	0.1765403152
-4	0.1520815887
-3.5	0.1294959212
-3	0.1087833127
-2.5	0.0899437633
-2	0.0729772729
-1.5	0.0578838415
-1	0.0446634692
-0.5	0.0333161559
0	0.0238419017
0.5	0.0162407065
1	0.0105125703
1.5	0.0066574932
2	0.0046754751
2.5	0.0045665161
3	0.0063306161
3.5	0.0099677751
4	0.0154779932
4.5	0.0228612703
5	0.0321176064
5.5	0.0432470016
6	0.0562494559
6.5	0.0711249691
7	0.0878735414
7.5	0.1064951728
8	0.1269898632
8.5	0.1493576126
9	0.1735984211
9.5	0.1997122886
10	0.2276992151
10.5	0.2575592007
11	0.2892922453
11.5	0.322898349
12	0.3583775117
12.5	0.3957297334
13	0.4349550142
13.5	0.476053354
14	0.5190247529
14.5	0.5638692107
15	0.6105867277
15.5	0.6591773037
16	0.7096409387
16.5	0.7619776327
17	0.8161873858
17.5	0.8722701979
18	0.9302260691
18.5	0.9900549993
19	1.0517569885
19.5	1.1153320368
20	1.1807801441
20.5	1.2481013105
21	1.3172955359
21.5	1.3883628204
22	1.4613031638
22.5	1.5361165663
23	1.6128030279
23.5	1.6913625485
24	1.7717951281
24.5	1.8541007668
25	1.9382794645
25.5	2.0243312213
26	2.1122560371
26.5	2.2020539119
27	2.2937248458
27.5	2.3872688387
28	2.4826858906
