stream	dataset	path	group	working groups	type	status	enabling	target rate 2.0e34	target rate 1.4e34	HLT Prescales                                                                                          HLT Prescales                                                                                          HLT Prescales                                                                                          HLT Prescales                                                                                               HLT Prescales																										L1 seed {Note: "(L1_A) AND (L1_B)" refers to the actual seed (L1_A) and any L1 algo (L1_B) used to provide L1 candidates in the path (but not to seed the path). In case of doubt, the most trustable source is the configuration of the path itself.}	L1 Prescales                                                                                          L1 Prescales                                                                                          L1 Prescales                                                                                          L1 Prescales                                                                                               L1 Prescales																										
				e.g. "EXO-LL" or "HIG-ZZ" etc...						Emer.	1.6E+34	1.5E+34	1.4E+34	1.3E+34	1.2E+34	1.1E+34	1E+34	7.5E+33	5E+33	2.5E+33	1.6e34+ZB	1.5e34+ZB	1.4e34+ZB	1.3e34+ZB	1.2e34+ZB	1.1e34+ZB	1.0e34+ZB	7.5e33+ZB	5.0e33+ZB	2.5e33+ZB	ECAL 2.0kHz	ECAL 1.7kHz	ECAL 1.4kHz	ECAL 1.2kHz	ECAL 1.0kHz		Emer.	1.6E+34	1.5E+34	1.4E+34	1.3E+34	1.2E+34	1.1E+34	1E+34	7.5E+33	5E+33	2.5E+33	1.6e34+ZB	1.5e34+ZB	1.4e34+ZB	1.3e34+ZB	1.2e34+ZB	1.1e34+ZB	1.0e34+ZB	7.5e33+ZB	5.0e33+ZB	2.5e33+ZB	ECAL 2.0kHz	ECAL 1.7kHz	ECAL 1.4kHz	ECAL 1.2kHz	ECAL 1.0kHz	
PhysicsEGamma	SingleElectron	HLT_Ele145_CaloIdVT_GsfTrkIdT_v6	EXO,B2G		backup	unprescaled	2E+34	2.7	2.7	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_SingleEG30 OR L1_SingleEG32 OR L1_SingleEG34 OR L1_SingleEG36 OR L1_SingleEG38 OR L1_SingleEG40 OR L1_SingleJet170 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_SingleTau100er2p1 OR L1_SingleTau120er2p1 OR L1_SingleEG42 OR L1_SingleEG45 OR L1_SingleEG50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SingleElectron	HLT_Ele15_CaloIdL_TrackIdL_IsoVL_PFJet30_v1	SMP		control	disabled	none	/	/	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_SingleEG10 OR L1_SingleEG15	15000	2700	2700	2300	1900	100	80	70	50	35	18	2700	2700	2300	1900	100	80	70	50	35	18	0	0	0	0	0	edit
PhysicsEGamma	SingleElectron	HLT_Ele15_IsoVVVL_PFHT450_CaloBTagCSV_4p5_v7	SUS		signal	unprescaled	2E+34	7	7	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	(L1_HTT380er OR L1_HTT320er) AND (L1_SingleEG5)	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SingleElectron	HLT_Ele15_IsoVVVL_PFHT450_PFMET50_v14	SUS		signal	unprescaled	2E+34	9.6	9.6	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	(L1_HTT380er OR L1_HTT320er) AND (L1_SingleEG5)	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SingleElectron	HLT_Ele15_IsoVVVL_PFHT450_v14	SUS,B2G		signal	unprescaled	2E+34	10	10	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	(L1_HTT380er OR L1_HTT320er) AND (L1_SingleEG5)	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SingleElectron	HLT_Ele15_IsoVVVL_PFHT600_v18	SUS,B2G		signal	unprescaled	2E+34	6.1	6.1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	(L1_HTT380er OR L1_HTT320er) AND (L1_SingleEG5)	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SingleElectron	HLT_Ele15_WPLoose_Gsf_v1	SMP		control	disabled	none	/	/	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_SingleEG10 OR L1_SingleEG15 OR L1_SingleEG18	15000	2700	2700	2300	1900	100	80	70	50	35	18	2700	2700	2300	1900	100	80	70	50	35	18	0	0	0	0	0	edit
PhysicsEGamma	SingleElectron	HLT_Ele17_CaloIdM_TrackIdM_PFJet30_v14	SUS		control	prescaled	2E+34	2	2	0	1	1	1	1	9	11	11	11	11	10	1	1	1	1	9	11	11	11	11	10	0	0	0	0	0	L1_SingleEG15	15000	2700	2700	2300	1900	100	80	70	50	35	18	2700	2700	2300	1900	100	80	70	50	35	18	0	0	0	0	0	
PhysicsEGamma	SingleElectron	HLT_Ele17_WPLoose_Gsf_v1	SMP		control	disabled	none	/	/	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_SingleEG10 OR L1_SingleEG15 OR L1_SingleEG18	15000	2700	2700	2300	1900	100	80	70	50	35	18	2700	2700	2300	1900	100	80	70	50	35	18	0	0	0	0	0	edit
PhysicsEGamma	SingleElectron	HLT_Ele200_CaloIdVT_GsfTrkIdT_v6	EXO,B2G		backup	unprescaled	2E+34	0.8	0.8	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_SingleEG30 OR L1_SingleEG32 OR L1_SingleEG34 OR L1_SingleEG36 OR L1_SingleEG38 OR L1_SingleEG40 OR L1_SingleJet170 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_SingleTau100er2p1 OR L1_SingleTau120er2p1 OR L1_SingleEG42 OR L1_SingleEG45 OR L1_SingleEG50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SingleElectron	HLT_Ele20_WPLoose_Gsf_v4	SMP		signal	unprescaled	Disabled	?	?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_SingleEG10 OR L1_SingleEG15 OR L1_SingleEG18	15000	2700	2700	2300	1900	100	80	70	50	35	18	2700	2700	2300	1900	100	80	70	50	35	18	0	0	0	0	0	
PhysicsEGamma	SingleElectron	HLT_Ele20_WPTight_Gsf_v4	SMP		signal	unprescaled	Disabled	?	?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_SingleEG10 OR L1_SingleEG15 OR L1_SingleEG18	15000	2700	2700	2300	1900	100	80	70	50	35	18	2700	2700	2300	1900	100	80	70	50	35	18	0	0	0	0	0	
PhysicsEGamma	SingleElectron	HLT_Ele20_eta2p1_WPLoose_Gsf_v4	SMP		signal	unprescaled	Disabled	?	?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_SingleEG10 OR L1_SingleEG15 OR L1_SingleEG18	15000	2700	2700	2300	1900	100	80	70	50	35	18	2700	2700	2300	1900	100	80	70	50	35	18	0	0	0	0	0	
PhysicsEGamma	SingleElectron	HLT_Ele23_CaloIdL_TrackIdL_IsoVL_PFJet30_v16	SUS		control	prescaled	2E+34	2	2	0	1	1	1	1	4	5	5	5	5	5	1	1	1	1	4	5	5	5	5	5	0	0	0	0	0	L1_SingleEG15	15000	2700	2700	2300	1900	100	80	70	50	35	18	2700	2700	2300	1900	100	80	70	50	35	18	0	0	0	0	0	
PhysicsEGamma	SingleElectron	HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16	SUS		control	prescaled	2E+34	2	2	0	1	1	1	1	6	8	8	8	8	7	1	1	1	1	6	8	8	8	8	7	0	0	0	0	0	L1_SingleEG15	15000	2700	2700	2300	1900	100	80	70	50	35	18	2700	2700	2300	1900	100	80	70	50	35	18	0	0	0	0	0	
PhysicsEGamma	SingleElectron	HLT_Ele24_eta2p1_WPTight_Gsf_LooseChargedIsoPFTau30_eta2p1_CrossL1_v11	TAU,HIG,SUS,EXO		signal	unprescaled	2E+34	9	9	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_LooseIsoEG22er2p1_IsoTau26er2p1_dR_Min0p3 OR L1_LooseIsoEG24er2p1_IsoTau27er2p1_dR_Min0p3	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SingleElectron	HLT_Ele24_eta2p1_WPTight_Gsf_LooseChargedIsoPFTau30_eta2p1_TightID_CrossL1_v11	TAU,HIG,SUS,EXO		backup	unprescaled	2E+34	8.5	8.5	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_LooseIsoEG22er2p1_IsoTau26er2p1_dR_Min0p3 OR L1_LooseIsoEG24er2p1_IsoTau27er2p1_dR_Min0p3	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SingleElectron	HLT_Ele24_eta2p1_WPTight_Gsf_MediumChargedIsoPFTau30_eta2p1_CrossL1_v11	TAU,HIG,SUS,EXO		backup	unprescaled	2E+34	8.5	8.5	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_LooseIsoEG22er2p1_IsoTau26er2p1_dR_Min0p3 OR L1_LooseIsoEG24er2p1_IsoTau27er2p1_dR_Min0p3	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SingleElectron	HLT_Ele24_eta2p1_WPTight_Gsf_MediumChargedIsoPFTau30_eta2p1_TightID_CrossL1_v11	TAU,HIG,SUS,EXO		backup	unprescaled	2E+34	8.1	8.1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_LooseIsoEG22er2p1_IsoTau26er2p1_dR_Min0p3 OR L1_LooseIsoEG24er2p1_IsoTau27er2p1_dR_Min0p3	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SingleElectron	HLT_Ele24_eta2p1_WPTight_Gsf_TightChargedIsoPFTau30_eta2p1_CrossL1_v11	TAU,HIG,SUS,EXO		backup	unprescaled	2E+34	8.3	8.3	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_LooseIsoEG22er2p1_IsoTau26er2p1_dR_Min0p3 OR L1_LooseIsoEG24er2p1_IsoTau27er2p1_dR_Min0p3	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SingleElectron	HLT_Ele24_eta2p1_WPTight_Gsf_TightChargedIsoPFTau30_eta2p1_TightID_CrossL1_v11	TAU,HIG,SUS		backup	unprescaled	2E+34	7.9	7.9	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_LooseIsoEG22er2p1_IsoTau26er2p1_dR_Min0p3 OR L1_LooseIsoEG24er2p1_IsoTau27er2p1_dR_Min0p3	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SingleElectron	HLT_Ele250_CaloIdVT_GsfTrkIdT_v11	EXO,B2G		backup	unprescaled	2E+34	0.21	0.21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_SingleEG30 OR L1_SingleEG32 OR L1_SingleEG34 OR L1_SingleEG36 OR L1_SingleEG38 OR L1_SingleEG40 OR L1_SingleJet170 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_SingleTau100er2p1 OR L1_SingleTau120er2p1 OR L1_SingleEG42 OR L1_SingleEG45 OR L1_SingleEG50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SingleElectron	HLT_Ele27_WPTight_Gsf_v14	EGM,SUS,SMP,EXO,TOP,B2G		signal	partial	1.4E+34	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	L1_SingleEG24 OR L1_SingleEG26 OR L1_SingleEG30 OR L1_SingleEG32 OR L1_SingleEG34 OR L1_SingleEG36 OR L1_SingleEG38 OR L1_SingleEG40 OR L1_SingleEG42  OR L1_SingleEG45  OR L1_SingleEG50 OR L1_SingleEG34er2p1 OR L1_SingleEG36er2p1 OR L1_SingleEG38er2p1 OR L1_SingleIsoEG24er2p1 OR L1_SingleIsoEG26er2p1 OR L1_SingleIsoEG28er2p1 OR L1_SingleIsoEG30er2p1 OR L1_SingleIsoEG32er2p1 OR L1_SingleIsoEG34er2p1 OR L1_SingleIsoEG36er2p1 OR L1_SingleIsoEG24 OR L1_SingleIsoEG26 OR L1_SingleIsoEG28 OR L1_SingleIsoEG30 OR L1_SingleIsoEG32 OR L1_SingleIsoEG34 OR L1_SingleIsoEG36 OR L1_SingleIsoEG38	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SingleElectron	HLT_Ele28_eta2p1_WPTight_Gsf_HT150_v11	TOP		signal	unprescaled	2E+34	35	35	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_LooseIsoEG24er2p1_HTT100er OR L1_LooseIsoEG26er2p1_HTT100er OR L1_LooseIsoEG28er2p1_HTT100er OR L1_SingleEG24 OR L1_SingleEG26 OR L1_SingleEG30 OR L1_SingleEG32 OR L1_SingleEG34 OR L1_SingleEG36 OR L1_SingleEG38 OR L1_SingleEG40 OR L1_SingleEG42  OR L1_SingleEG45  OR L1_SingleEG50 OR L1_SingleEG34er2p1 OR L1_SingleEG36er2p1 OR L1_SingleEG38er2p1 OR L1_SingleIsoEG24er2p1 OR L1_SingleIsoEG26er2p1 OR L1_SingleIsoEG28er2p1 OR L1_SingleIsoEG30er2p1 OR L1_SingleIsoEG32er2p1 OR L1_SingleIsoEG34er2p1 OR L1_SingleIsoEG36er2p1 OR L1_SingleIsoEG24 OR L1_SingleIsoEG26 OR L1_SingleIsoEG28 OR L1_SingleIsoEG30 OR L1_SingleIsoEG32 OR L1_SingleIsoEG34 OR L1_SingleIsoEG36 OR L1_SingleIsoEG38	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SingleElectron	HLT_Ele300_CaloIdVT_GsfTrkIdT_v11	EXO,B2G		backup	unprescaled	2E+34	0.1	0.1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_SingleEG30 OR L1_SingleEG32 OR L1_SingleEG34 OR L1_SingleEG36 OR L1_SingleEG38 OR L1_SingleEG40 OR L1_SingleJet170 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_SingleTau100er2p1 OR L1_SingleTau120er2p1 OR L1_SingleEG42 OR L1_SingleEG45 OR L1_SingleEG50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SingleElectron	HLT_Ele30_eta2p1_WPTight_Gsf_CentralPFJet35_EleCleaned_v11	TOP		signal	unprescaled	2E+34	47	47	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	 L1_LooseIsoEG26er2p1_Jet34er2p7_dR_Min0p3 OR L1_LooseIsoEG28er2p1_Jet34er2p7_dR_Min0p3 OR L1_LooseIsoEG30er2p1_Jet34er2p7_dR_Min0p3 OR L1_SingleEG24 OR L1_SingleEG26 OR L1_SingleEG30 OR L1_SingleEG32 OR L1_SingleEG34 OR L1_SingleEG36 OR L1_SingleEG38 OR L1_SingleEG40  OR L1_SingleEG42  OR L1_SingleEG45  OR L1_SingleEG50 OR L1_SingleEG34er2p1 OR L1_SingleEG36er2p1 OR L1_SingleEG38er2p1 OR L1_SingleIsoEG24er2p1 OR L1_SingleIsoEG26er2p1 OR L1_SingleIsoEG28er2p1 OR L1_SingleIsoEG30er2p1 OR L1_SingleIsoEG32er2p1 OR L1_SingleIsoEG34er2p1 OR L1_SingleIsoEG36er2p1 OR L1_SingleIsoEG24 OR L1_SingleIsoEG26 OR L1_SingleIsoEG28 OR L1_SingleIsoEG30 OR L1_SingleIsoEG32 OR L1_SingleIsoEG34 OR L1_SingleIsoEG36 OR L1_SingleIsoEG38	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SingleElectron	HLT_Ele32_WPTight_Gsf_L1DoubleEG_v7	EGM		control	unprescaled	2E+34	84.2	84.2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_SingleEG24 OR L1_SingleEG26 OR L1_SingleEG30 OR L1_SingleEG32 OR L1_SingleEG34 OR L1_SingleEG36 OR L1_SingleEG38 OR L1_SingleEG40 OR L1_SingleEG42  OR L1_SingleEG45  OR L1_SingleEG50 OR L1_SingleEG34er2p1 OR L1_SingleEG36er2p1 OR L1_SingleEG38er2p1 OR L1_SingleIsoEG24er2p1 OR L1_SingleIsoEG26er2p1 OR L1_SingleIsoEG28er2p1 OR L1_SingleIsoEG30er2p1 OR L1_SingleIsoEG32er2p1 OR L1_SingleIsoEG34er2p1 OR L1_SingleIsoEG36er2p1 OR L1_SingleIsoEG24 OR L1_SingleIsoEG26 OR L1_SingleIsoEG28 OR L1_SingleIsoEG30 OR L1_SingleIsoEG32 OR L1_SingleIsoEG34 OR L1_SingleIsoEG36 OR L1_SingleIsoEG38 OR L1_DoubleEG_18_17 OR L1_DoubleEG_20_18 OR L1_DoubleEG_22_10 OR L1_DoubleEG_22_12 OR L1_DoubleEG_22_12 OR L1_DoubleEG_22_15 OR L1_DoubleEG_23_10 OR L1_DoubleEG_24_17 OR L1_DoubleEG_25_12 OR L1_DoubleEG_25_14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SingleElectron	HLT_Ele32_WPTight_Gsf_v13	EGM		signal	unprescaled	2E+34	145	145	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_SingleEG24 OR L1_SingleEG26 OR L1_SingleEG30 OR L1_SingleEG32 OR L1_SingleEG34 OR L1_SingleEG36 OR L1_SingleEG38 OR L1_SingleEG40 OR L1_SingleEG42  OR L1_SingleEG45  OR L1_SingleEG50 OR L1_SingleEG34er2p1 OR L1_SingleEG36er2p1 OR L1_SingleEG38er2p1 OR L1_SingleIsoEG24er2p1 OR L1_SingleIsoEG26er2p1 OR L1_SingleIsoEG28er2p1 OR L1_SingleIsoEG30er2p1 OR L1_SingleIsoEG32er2p1 OR L1_SingleIsoEG34er2p1 OR L1_SingleIsoEG36er2p1 OR L1_SingleIsoEG24 OR L1_SingleIsoEG26 OR L1_SingleIsoEG28 OR L1_SingleIsoEG30 OR L1_SingleIsoEG32 OR L1_SingleIsoEG34 OR L1_SingleIsoEG36 OR L1_SingleIsoEG38	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SingleElectron	HLT_Ele35_WPTight_Gsf_L1EGMT_v3	ECAL		signal	unprescaled	2E+34	13	13	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_SingleEG24 OR L1_SingleEG26 OR L1_SingleEG30 OR L1_SingleEG32 OR L1_SingleEG34 OR L1_SingleEG36 OR L1_SingleEG38 OR L1_SingleEG40 OR L1_SingleEG42 OR L1_SingleEG45 OR L1_SingleEG50 OR L1_SingleEG34er2p1 OR L1_SingleEG36er2p1 OR L1_SingleEG38er2p1 OR L1_SingleIsoEG24er2p1 OR L1_SingleIsoEG26er2p1 OR L1_SingleIsoEG28er2p1 OR L1_SingleIsoEG30er2p1 OR L1_SingleIsoEG32er2p1 OR L1_SingleIsoEG34er2p1 OR L1_SingleIsoEG36er2p1 OR L1_SingleIsoEG24 OR L1_SingleIsoEG26 OR L1_SingleIsoEG28 OR L1_SingleIsoEG30 OR L1_SingleIsoEG32 OR L1_SingleIsoEG34 OR L1_SingleIsoEG36 OR L1_SingleIsoEG38 OR L1_IsoEG33_Mt40	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SingleElectron	HLT_Ele35_WPTight_Gsf_v7	EGM,SUS,SMP,EXO,TOP,B2G,HIG		signal	unprescaled	2E+34	76	76	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_SingleEG24 OR L1_SingleEG26 OR L1_SingleEG30 OR L1_SingleEG32 OR L1_SingleEG34 OR L1_SingleEG36 OR L1_SingleEG38 OR L1_SingleEG40 OR L1_SingleEG42  OR L1_SingleEG45  OR L1_SingleEG50 OR L1_SingleEG34er2p1 OR L1_SingleEG36er2p1 OR L1_SingleEG38er2p1 OR L1_SingleIsoEG24er2p1 OR L1_SingleIsoEG26er2p1 OR L1_SingleIsoEG28er2p1 OR L1_SingleIsoEG30er2p1 OR L1_SingleIsoEG32er2p1 OR L1_SingleIsoEG34er2p1 OR L1_SingleIsoEG36er2p1 OR L1_SingleIsoEG24 OR L1_SingleIsoEG26 OR L1_SingleIsoEG28 OR L1_SingleIsoEG30 OR L1_SingleIsoEG32 OR L1_SingleIsoEG34 OR L1_SingleIsoEG36 OR L1_SingleIsoEG38	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SingleElectron	HLT_Ele38_WPTight_Gsf_v7	EGM,SUS,SMP,EXO,TOP,B2G,HIG		backup	unprescaled	2E+34	72	72	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_SingleEG24 OR L1_SingleEG26 OR L1_SingleEG30 OR L1_SingleEG32 OR L1_SingleEG34 OR L1_SingleEG36 OR L1_SingleEG38 OR L1_SingleEG40 OR L1_SingleEG42  OR L1_SingleEG45  OR L1_SingleEG50 OR L1_SingleEG34er2p1 OR L1_SingleEG36er2p1 OR L1_SingleEG38er2p1 OR L1_SingleIsoEG24er2p1 OR L1_SingleIsoEG26er2p1 OR L1_SingleIsoEG28er2p1 OR L1_SingleIsoEG30er2p1 OR L1_SingleIsoEG32er2p1 OR L1_SingleIsoEG34er2p1 OR L1_SingleIsoEG36er2p1 OR L1_SingleIsoEG24 OR L1_SingleIsoEG26 OR L1_SingleIsoEG28 OR L1_SingleIsoEG30 OR L1_SingleIsoEG32 OR L1_SingleIsoEG34 OR L1_SingleIsoEG36 OR L1_SingleIsoEG38	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SingleElectron	HLT_Ele40_WPTight_Gsf_v7	EGM,SUS,SMP,EXO,TOP,HIG		backup	unprescaled	2E+34	65.1	65.1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_SingleEG24 OR L1_SingleEG26 OR L1_SingleEG30 OR L1_SingleEG32 OR L1_SingleEG34 OR L1_SingleEG36 OR L1_SingleEG38 OR L1_SingleEG40 OR L1_SingleEG42  OR L1_SingleEG45  OR L1_SingleEG50 OR L1_SingleEG34er2p1 OR L1_SingleEG36er2p1 OR L1_SingleEG38er2p1 OR L1_SingleIsoEG24er2p1 OR L1_SingleIsoEG26er2p1 OR L1_SingleIsoEG28er2p1 OR L1_SingleIsoEG30er2p1 OR L1_SingleIsoEG32er2p1 OR L1_SingleIsoEG34er2p1 OR L1_SingleIsoEG36er2p1 OR L1_SingleIsoEG24 OR L1_SingleIsoEG26 OR L1_SingleIsoEG28 OR L1_SingleIsoEG30 OR L1_SingleIsoEG32 OR L1_SingleIsoEG34 OR L1_SingleIsoEG36 OR L1_SingleIsoEG38	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SingleElectron	HLT_Ele50_CaloIdVT_GsfTrkIdT_PFJet165_v16	B2G		signal	unprescaled	2E+34	20	20	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_SingleEG40 OR L1_SingleEG42 OR L1_SingleEG45 OR L1_SingleEG50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SingleElectron	HLT_Ele50_IsoVVVL_PFHT450_v14	SUS		signal	unprescaled	2E+34	31	31	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	(L1_HTT380er OR L1_HTT320er) AND (L1_SingleEG5)	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SingleElectron	HLT_Ele8_CaloIdL_TrackIdL_IsoVL_PFJet30_v14	SUS		control	prescaled	2E+34	2	2	0	1	1	1	1	3	4	4	4	4	4	1	1	1	1	3	4	4	4	4	4	0	0	0	0	0	L1_SingleEG10 OR L1_SingleEG5	60000	38000	38000	32000	27000	1500	1200	980	750	490	252	38000	38000	32000	27000	1500	1200	980	750	490	252	0	0	0	0	0	
PhysicsEGamma	SingleElectron	HLT_Ele8_CaloIdM_TrackIdM_PFJet30_v16	SUS		control	prescaled	2E+34	2	2	0	1	1	1	1	4	5	5	5	5	5	1	1	1	1	4	5	5	5	5	5	0	0	0	0	0	L1_SingleEG10 OR L1_SingleEG5	60000	38000	38000	32000	27000	1500	1200	980	750	490	252	38000	38000	32000	27000	1500	1200	980	750	490	252	0	0	0	0	0	
PhysicsEGamma	SinglePhoton	HLT_Photon120_R9Id90_HE10_IsoM_v13	SUS,B2G		control	prescaled	2E+34	1	1	0	10	10	10	9	8	8	7	5	3	2	10	10	10	9	8	8	7	5	3	2	0	0	0	0	0	L1_SingleEG40 OR L1_SingleEG42 OR L1_SingleEG45 OR L1_SingleEG50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsEGamma	SinglePhoton	HLT_Photon120_v12	SMP,EXO		control	prescaled	2E+34	0.5	0.5	0	147	147	137	127	118	113	98	74	49	25	147	147	137	127	118	113	98	74	49	25	0	0	0	0	0	L1_SingleEG34 OR L1_SingleEG40  OR L1_SingleEG42  OR L1_SingleEG45  OR L1_SingleEG50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
