stream	dataset	path	group	working groups	type	status	enabling	target rate 2.0e34	target rate 1.4e34	HLT Prescales                                                                                          HLT Prescales                                                                                          HLT Prescales                                                                                          HLT Prescales                                                                                               HLT Prescales																										L1 seed {Note: "(L1_A) AND (L1_B)" refers to the actual seed (L1_A) and any L1 algo (L1_B) used to provide L1 candidates in the path (but not to seed the path). In case of doubt, the most trustable source is the configuration of the path itself.}	L1 Prescales                                                                                          L1 Prescales                                                                                          L1 Prescales                                                                                          L1 Prescales                                                                                               L1 Prescales																										
				e.g. "EXO-LL" or "HIG-ZZ" etc...						Emer.	1.6E+34	1.5E+34	1.4E+34	1.3E+34	1.2E+34	1.1E+34	1E+34	7.5E+33	5E+33	2.5E+33	1.6e34+ZB	1.5e34+ZB	1.4e34+ZB	1.3e34+ZB	1.2e34+ZB	1.1e34+ZB	1.0e34+ZB	7.5e33+ZB	5.0e33+ZB	2.5e33+ZB	ECAL 2.0kHz	ECAL 1.7kHz	ECAL 1.4kHz	ECAL 1.2kHz	ECAL 1.0kHz		Emer.	1.6E+34	1.5E+34	1.4E+34	1.3E+34	1.2E+34	1.1E+34	1E+34	7.5E+33	5E+33	2.5E+33	1.6e34+ZB	1.5e34+ZB	1.4e34+ZB	1.3e34+ZB	1.2e34+ZB	1.1e34+ZB	1.0e34+ZB	7.5e33+ZB	5.0e33+ZB	2.5e33+ZB	ECAL 2.0kHz	ECAL 1.7kHz	ECAL 1.4kHz	ECAL 1.2kHz	ECAL 1.0kHz	
Parking	ParkingHT	DST_HT250_CaloBTagScouting_v8	EXO		signal	unprescaled	2E+34	3800	3800	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	0	0	0	0	0	L1_HTT200er OR L1_HTT240er OR L1_HTT270er OR L1_HTT280er OR L1_HTT300er OR L1_HTT320er OR L1_HTT380er OR L1_HTT400er OR L1_HTT450er OR L1_HTT500er OR L1_SingleJet180 OR L1_SingleJet200 OR L1_DoubleJet30_Mass_Min300_dEta_Max1p5 OR L1_DoubleJet30_Mass_Min320_dEta_Max1p5 OR L1_DoubleJet30_Mass_Min340_dEta_Max1p5 OR L1_DoubleJet30_Mass_Min360_dEta_Max1p5 OR L1_DoubleJet30_Mass_Min380_dEta_Max1p5 OR L1_DoubleJet30_Mass_Min400_dEta_Max1p5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
Parking	ParkingHT	DST_HT250_CaloScouting_v9	EXO		signal	unprescaled	2E+34	3800	3800	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	0	0	0	0	0	L1_HTT200er OR L1_HTT240er OR L1_HTT270er OR L1_HTT280er OR L1_HTT300er OR L1_HTT320er OR L1_HTT380er OR L1_HTT400er OR L1_HTT450er OR L1_HTT500er OR L1_SingleJet180 OR L1_SingleJet200 OR L1_DoubleJet30_Mass_Min300_dEta_Max1p5 OR L1_DoubleJet30_Mass_Min320_dEta_Max1p5 OR L1_DoubleJet30_Mass_Min340_dEta_Max1p5 OR L1_DoubleJet30_Mass_Min360_dEta_Max1p5 OR L1_DoubleJet30_Mass_Min380_dEta_Max1p5 OR L1_DoubleJet30_Mass_Min400_dEta_Max1p5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
Parking	ParkingHT	DST_HT410_BTagScouting_v14	EXO		signal	unprescaled	2E+34	650	650	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	0	0	0	0	0	L1_HTT200er OR L1_HTT240er OR L1_HTT270er OR L1_HTT280er OR L1_HTT300er OR L1_HTT320er OR L1_HTT380er OR L1_HTT400er OR L1_HTT450er OR L1_HTT500er OR L1_SingleJet180 OR L1_SingleJet200 OR L1_DoubleJet30_Mass_Min300_dEta_Max1p5 OR L1_DoubleJet30_Mass_Min320_dEta_Max1p5 OR L1_DoubleJet30_Mass_Min340_dEta_Max1p5 OR L1_DoubleJet30_Mass_Min360_dEta_Max1p5 OR L1_DoubleJet30_Mass_Min380_dEta_Max1p5 OR L1_DoubleJet30_Mass_Min400_dEta_Max1p5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
Parking	ParkingHT	DST_HT410_PFScouting_v14	EXO		signal	unprescaled	2E+34	650	650	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	0	0	0	0	0	L1_HTT200er OR L1_HTT240er OR L1_HTT270er OR L1_HTT280er OR L1_HTT300er OR L1_HTT320er OR L1_HTT380er OR L1_HTT400er OR L1_HTT450er OR L1_HTT500er OR L1_SingleJet180 OR L1_SingleJet200 OR L1_DoubleJet30_Mass_Min300_dEta_Max1p5 OR L1_DoubleJet30_Mass_Min320_dEta_Max1p5 OR L1_DoubleJet30_Mass_Min340_dEta_Max1p5 OR L1_DoubleJet30_Mass_Min360_dEta_Max1p5 OR L1_DoubleJet30_Mass_Min380_dEta_Max1p5 OR L1_DoubleJet30_Mass_Min400_dEta_Max1p5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
Parking	ParkingHT	DST_L1HTT_BTagScouting_v13	EXO		control	prescaled	2E+34	10	10	0	2000	2000	1800	1600	1400	1200	1000	750	500	250	2000	2000	1800	1600	1400	1200	1000	750	500	250	0	0	0	0	0	L1_HTT200er OR L1_HTT240er OR L1_HTT270er OR L1_HTT280er OR L1_HTT300er OR L1_HTT320er OR L1_HTT380er OR L1_HTT400er OR L1_HTT450er OR L1_HTT500er OR L1_SingleJet180 OR L1_SingleJet200 OR L1_DoubleJet30_Mass_Min300_dEta_Max1p5 OR L1_DoubleJet30_Mass_Min320_dEta_Max1p5 OR L1_DoubleJet30_Mass_Min340_dEta_Max1p5 OR L1_DoubleJet30_Mass_Min360_dEta_Max1p5 OR L1_DoubleJet30_Mass_Min380_dEta_Max1p5 OR L1_DoubleJet30_Mass_Min400_dEta_Max1p5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
Parking	ParkingHT	DST_L1HTT_CaloBTagScouting_v12	EXO		control	prescaled	2E+34	10	10	0	2000	2000	1800	1600	1400	1200	1000	750	500	250	2000	2000	1800	1600	1400	1200	1000	750	500	250	0	0	0	0	0	L1_HTT200er OR L1_HTT240er OR L1_HTT270er OR L1_HTT280er OR L1_HTT300er OR L1_HTT320er OR L1_HTT380er OR L1_HTT400er OR L1_HTT450er OR L1_HTT500er OR L1_SingleJet180 OR L1_SingleJet200 OR L1_DoubleJet30_Mass_Min300_dEta_Max1p5 OR L1_DoubleJet30_Mass_Min320_dEta_Max1p5 OR L1_DoubleJet30_Mass_Min340_dEta_Max1p5 OR L1_DoubleJet30_Mass_Min360_dEta_Max1p5 OR L1_DoubleJet30_Mass_Min380_dEta_Max1p5 OR L1_DoubleJet30_Mass_Min400_dEta_Max1p5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
Parking	ParkingHT	DST_L1HTT_CaloScouting_PFScouting_v13	EXO		control	prescaled	2E+34	10	10	0	2000	2000	1800	1600	1400	1200	1000	750	500	250	2000	2000	1800	1600	1400	1200	1000	750	500	250	0	0	0	0	0	L1_HTT200er OR L1_HTT240er OR L1_HTT270er OR L1_HTT280er OR L1_HTT300er OR L1_HTT320er OR L1_HTT380er OR L1_HTT400er OR L1_HTT450er OR L1_HTT500er OR L1_SingleJet180 OR L1_SingleJet200 OR L1_DoubleJet30_Mass_Min300_dEta_Max1p5 OR L1_DoubleJet30_Mass_Min320_dEta_Max1p5 OR L1_DoubleJet30_Mass_Min340_dEta_Max1p5 OR L1_DoubleJet30_Mass_Min360_dEta_Max1p5 OR L1_DoubleJet30_Mass_Min380_dEta_Max1p5 OR L1_DoubleJet30_Mass_Min400_dEta_Max1p5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
Parking	ParkingHT	DST_ZeroBias_BTagScouting_v13	EXO		control	prescaled	2E+34	10	10	0	1750	1750	1600	2400	2100	1800	1500	1130	750	380	1750	1750	1600	2400	2100	1800	1500	1130	750	380	0	0	0	0	0	L1_ZeroBias	12457	12457	12457	12457	7193	7193	7193	7193	7193	7193	7193	12457	12457	12457	7193	7193	7193	7193	6997	6997	6997	10487	12343	14983	17483	20983	
Parking	ParkingHT	DST_ZeroBias_CaloScouting_PFScouting_v12	EXO		control	prescaled	2E+34	10	10	0	1750	1750	1600	2400	2100	1800	1500	1130	750	380	1750	1750	1600	2400	2100	1800	1500	1130	750	380	0	0	0	0	0	L1_ZeroBias	12457	12457	12457	12457	7193	7193	7193	7193	7193	7193	7193	12457	12457	12457	7193	7193	7193	7193	6997	6997	6997	10487	12343	14983	17483	20983	
Parking	ParkingMuon	DST_DoubleMu3_noVtx_CaloScouting_v5	EXO		signal	unprescaled	2E+34	2000	2000	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	0	0	0	0	0	L1_DoubleMu_12_5 OR L1_DoubleMu_12_8 OR L1_DoubleMu_13_6 OR L1_DoubleMu_15_5 OR L1_DoubleMu_15_7 OR L1_TripleMu_4_4_4 OR L1_TripleMu_5_0_0 OR L1_TripleMu_5_3_3 OR L1_TripleMu_5_5_3 OR L1_QuadMu0 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5er2p0_SQ_OS_Mass7to18 OR L1_DoubleMu4_SQ_OS_dR_Max1p2 OR L1_DoubleMu5_SQ_OS_Mass7to18 OR L1_DoubleMu_20_2_SQ_Mass_Max20 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu6_SQ_OS OR L1_DoubleMu0er1p5_SQ_dR_Max1p4 OR L1_DoubleMu0er2_SQ_dR_Max1p4 OR L1_DoubleMu0_SQ	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
