-5.5	0.282226
-5.4	0.273837
-5.3	0.265576
-5.2	0.257441
-5.1	0.249433
-5	0.241551
-4.9	0.233796
-4.8	0.226168
-4.7	0.218667
-4.6	0.211292
-4.5	0.204044
-4.4	0.196923
-4.3	0.189928
-4.2	0.183061
-4.1	0.176319
-4	0.169705
-3.9	0.163217
-3.8	0.156856
-3.7	0.150622
-3.6	0.144514
-3.5	0.138534
-3.4	0.132679
-3.3	0.126952
-3.2	0.121351
-3.1	0.115877
-3	0.11053
-2.9	0.105309
-2.8	0.100216
-2.7	0.095248
-2.6	0.090408
-2.5	0.085694
-2.4	0.081107
-2.3	0.076647
-2.2	0.072313
-2.1	0.068106
-2	0.064026
-1.9	0.060073
-1.8	0.056246
-1.7	0.052546
-1.6	0.048972
-1.5	0.045526
-1.4	0.042206
-1.3	0.039012
-1.2	0.035946
-1.1	0.033006
-1	0.030193
-0.9	0.027507
-0.8	0.024947
-0.7	0.022514
-0.6	0.020208
-0.5	0.018028
-0.4	0.015975
-0.3	0.014049
-0.2	0.01225
-0.1	0.010577
0	0.009031
0.1	0.007612
0.2	0.006319
0.3	0.005153
0.4	0.004114
0.5	0.003202
0.6	0.002416
0.7	0.001757
0.8	0.001225
0.9	0.000819
1	0.00054
1.1	0.000388
1.2	0.000362
1.3	0.000464
1.4	0.000691
1.5	0.001046
1.6	0.001527
1.7	0.002136
1.8	0.00287
1.9	0.003732
2	0.00472
2.1	0.005835
2.2	0.007077
2.3	0.008445
2.4	0.00994
2.5	0.011562
2.6	0.01331
2.7	0.015185
2.8	0.017187
2.9	0.019316
3	0.021571
3.1	0.023953
3.2	0.026462
3.3	0.029097
3.4	0.031859
3.5	0.034748
3.6	0.037764
3.7	0.040906
3.8	0.044175
3.9	0.047571
4	0.051093
4.1	0.054742
4.2	0.058518
4.3	0.06242
4.4	0.06645
4.5	0.070606
4.6	0.074888
4.7	0.079298
4.8	0.083834
4.9	0.088497
5	0.093286
5.1	0.098202
5.2	0.103245
5.3	0.108415
5.4	0.113711
5.5	0.119134
5.6	0.124684
5.7	0.13036
5.8	0.136164
5.9	0.142093
6	0.14815
6.1	0.154333
6.2	0.160643
6.3	0.16708
6.4	0.173643
6.5	0.180334
6.6	0.18715
6.7	0.194094
6.8	0.201164
6.9	0.208361
7	0.215685
7.1	0.223135
7.2	0.230713
7.3	0.238416
7.4	0.246247
7.5	0.254204

